,Unnamed: 0,electricity-kWh,startDay,endDay,RH-%,T-C,Tdew-C,pressure-mbar,solarRadiation-W/m2,windDirection,windSpeed-m/s,humidityRatio-kg/kg,coolingDegrees,heatingDegrees,dehumidification,occupancy
0,2012-01-01,2800.24497748539,2012-01-01,2012-01-02,76.6521739130435,7.17391304347826,3.07391304347826,1004.95652173913,95.2608695652174,236.086956521739,4.1183607826087,0.00479551059400455,0.0,7.82608695652174,0.0,0.0
1,2012-01-02,3168.97404661402,2012-01-02,2012-01-03,55.9583333333333,5.83333333333333,-2.9375,994.625,87.3333333333333,253.75,5.91435658333333,0.00341460540853131,0.0,9.16666666666667,0.0,0.3
2,2012-01-03,5194.53337629884,2012-01-03,2012-01-04,42.5,-3.20833333333333,-12.975,1002.125,95.7083333333333,302.916666666667,6.250005,0.00132665051803147,0.0,18.2083333333333,0.0,0.3
3,2012-01-04,5354.86193476897,2012-01-04,2012-01-05,41.5416666666667,-7.08333333333333,-16.9583333333333,1008.25,98.75,286.666666666667,5.12731891666667,0.000889791158398863,0.0,22.0833333333333,0.0,0.3
4,2012-01-05,5496.22399271186,2012-01-05,2012-01-06,46.9166666666667,-0.583333333333333,-9.86666666666667,1002.04166666667,90.75,258.333333333333,5.16204116666667,0.00174596354204236,0.0,15.5833333333333,0.0,0.3
5,2012-01-06,5414.4997033691,2012-01-06,2012-01-07,65.9583333333333,1.625,-4.03333333333333,1002.0,76.5416666666667,177.083333333333,2.80092816666667,0.00292294970613101,0.0,13.375,0.0,0.3
6,2012-01-07,4138.98970755842,2012-01-07,2012-01-08,65.1666666666667,6.49166666666667,-0.304166666666667,998.791666666667,94.2916666666667,157.5,2.65046508333333,0.00378584209167401,0.375,8.50833333333333,0.0,0.3
7,2012-01-08,4301.95749440417,2012-01-08,2012-01-09,48.4583333333333,4.83333333333333,-5.20833333333333,1010.375,95.5,295.416666666667,4.98842991666667,0.00258955253622719,0.0,10.1666666666667,0.0,0.3
8,2012-01-09,5626.49340291414,2012-01-09,2012-01-10,49.2083333333333,0.0416666666666667,-9.34583333333333,1014.375,101.5,260.416666666667,3.78472525,0.00182474143564111,0.0,14.9583333333333,0.0,0.3
9,2012-01-10,5370.20279529598,2012-01-10,2012-01-11,62.5416666666667,3.45833333333333,-3.41666666666667,1002.75,95.7916666666667,245.0,4.49074433333333,0.00296154921869287,0.0,11.5416666666667,0.0,0.3
10,2012-01-11,5411.60099562258,2012-01-11,2012-01-12,62.0833333333333,1.70833333333333,-4.875,1010.04166666667,98.7083333333333,181.666666666667,3.51852133333333,0.00266041688507585,0.0,13.2916666666667,0.0,0.3
11,2012-01-12,5518.02670677565,2012-01-12,2012-01-13,85.4166666666667,3.95833333333333,1.64166666666667,998.25,5.08333333333333,166.25,8.6805625,0.00435537810365696,0.0,11.0416666666667,0.0,0.3
12,2012-01-13,5313.59613192268,2012-01-13,2012-01-14,70.8333333333333,3.54166666666667,-1.83333333333333,987.708333333333,45.75,164.583333333333,6.21528275,0.00365009946251414,0.0,11.4583333333333,0.0,0.3
13,2012-01-14,3881.15439048968,2012-01-14,2012-01-15,50.0,-1.5,-10.1416666666667,1000.33333333333,88.75,282.916666666667,7.26852433333334,0.00171587412675734,0.0,16.5,0.0,0.3
